date,ticker,close_primary,close_reference,matched,close_diff_pct,mismatch
2026-08-11,ESSA,695.0,695,True,0.0,False
2026-08-11,EXCL,2410.0,2410,True,0.0,False
2026-08-11,GOTO,50.0,50,True,0.0,False
2026-08-11,HRTA,2080.0,2080,True,0.0,False
2026-08-11,ICBP,7575.0,7575,True,0.0,False
2026-08-11,INCO,5250.0,5250,True,0.0,False
2026-08-11,INDF,7275.0,7275,True,0.0,False
2026-08-11,INDY,2510.0,2510,True,0.0,False
2026-08-11,INKP,8300.0,8300,True,0.0,False
2026-08-11,ISAT,2150.0,2150,True,0.0,False
2026-08-11,ITMG,24675.0,24675,True,0.0,False
2026-08-11,JPFA,2200.0,2200,True,0.0,False
2026-08-11,KLBF,800.0,800,True,0.0,False
2026-08-11,MAPI,1540.0,1540,True,0.0,False
2026-08-11,MBMA,530.0,530,True,0.0,False
2026-08-11,MDKA,2920.0,2920,True,0.0,False
2026-08-11,MEDC,1340.0,1340,True,0.0,False
2026-08-11,NCKL,915.0,915,True,0.0,False
2026-08-11,PGAS,1490.0,1490,True,0.0,False
2026-08-11,PGEO,1055.0,1055,True,0.0,False
2026-08-11,PTBA,2350.0,2350,True,0.0,False
2026-08-11,SCMA,200.0,200,True,0.0,False
2026-08-11,TLKM,2610.0,2610,True,0.0,False
2026-08-11,UNTR,23625.0,23625,True,0.0,False
2026-08-11,UNVR,1745.0,1745,True,0.0,False
2026-08-11,WIFI,1885.0,1885,True,0.0,False
